Detailed Location,Began,Duration(Days),Year,Dead,Displaced,Damage(USD),Magnitude,Main Cause,Severity,Affected(sqkm),Longitude,Latitude,Magnitude Scale
"Guangdong - Meizhou area, Liuhuang. Huangjin, Guangzhou, Shenzhen. Zhanjiang, Maoming and Meizhou.Sichuan - Dazhu, Daxian and Mabian counties. Dazhou city. Bazhong, Guang'an. Quxian County. Daxian County, Qujiang. GuanganHubei - Badong County of Enshi Prefecture. Qingtaiping. Yichang City. Enshi Tujia and Miao Autonomous Prefecture. Huangang. Wuhan. Jingshan county. Huangpo. Yunxi County.Chongqing municipality - Yubei, Jiangjin and Yongchuan districtsHenan - Wangjiaba, Mengwa area. Laowangpo. Lushi countyAnhui - Huangshan. Wangjiaba, Qiujiahu, Jiangtanghu. Linquan County. Dabieshan mountain. Fuyang. Qianmiao in Fengtai. Huanyuanhu. Linhuaiguan in Fengyang. Linbei.Hunan - Dongting Lake area. Yiyang, Yuanjiang, Junshan and Huarong. Xiangxi Tujia and Miao. Shaanxi - Hanzhong. Shangluo city, Danfeng county. Yuncheng. AnkangJiangsu - NanjingGuizhou - Yuping, Xifeng, Yinjiang. Guiyangother provinces:  Guangxi, Fujian, Jiangxi.",2007-06-06,73,2007,600,3170000,4250000000,8.3,Torrential Rain,1.5,1916283,112.355,26.2928,High
Jiangxi Province,2007-06-01,6,2007,0,8000,13000000,6.0,Torrential Rain,1.0,168579,116.143,27.1976,Medium
"Sichuan province - Ganzi or Garze (Heba), Liangshan (Huidong), Chongqing city, Pengshui, Shimian",2007-05-24,3,2007,43,112000,73500000,5.1,Torrential Rain,1.0,43534,107.778,30.2821,Medium
"Guizhou Province - Nayong County - Dongdi, Jieshang, Saluo",2007-05-20,2,2007,3,0,Unknown,3.8,Torrential Rain,1.0,3206,105.414,26.8709,Low
"Gansu - Gaotai county - Nanhua, Xiaohaizi, Xiangdao",2007-04-19,3,2007,0,5500,Unknown,3.5,"Dam/Levy, break or release",1.0,940,99.8018,39.3328,Low
Yunnan Province - Honghe,2006-10-06,7,2006,16,20000,Unknown,5.2,Torrential Rain,1.0,24766,102.644,23.3406,Medium
Gansu Province - Luqu county -Shuangcha. Zhuoni county,2006-08-30,2,2006,15,0,Unknown,4.5,Torrential Rain,1.0,16922,102.682,34.6955,Medium
"Zhejiang Province: Wenzhou, Mazhan; Fujian Province: Fuding; Jiangxi Province: Nanchang, Fuzhou",2006-08-09,4,2006,441,1600000,312500000,5.9,Tropical Cyclone,1.0,191443,118.558,26.2746,Medium
Yunnan Province - Hani-Yi Autonomous Prefecture of Honghe - Mengzi County: Lengquan Township,2006-07-20,2,2006,18,0,Unknown,3.5,Torrential Rain,1.0,1666,102.175,24.6625,Low
Ningxia Hui Autonomous Region - Shizuishan,2006-07-14,4,2006,1,1200,Unknown,3.8,Torrential Rain,1.0,1726,106.588,39.0355,Low
Heilongjiang Province - Yichun city,2006-07-11,3,2006,0,4000,Unknown,3.6,Torrential Rain,1.0,1391,128.901,47.7334,Low
Guangxi Zhuang - cities: Qinzhou and Yulin,2006-07-07,5,2006,8,130000,31000000,5.0,Torrential Rain,1.0,20117,109.4,22.3477,Medium
Gansu Province - Qingxi Oil Field in Yumen City. Chifeng city,2006-07-06,12,2006,24,50,25000000,5.3,Torrential Rain,1.0,16831,99.1252,39.4326,Medium
"Xinjiang - Altay region - Gongliu County, Prefecture of Ili, Ku'erte Region. Turpan city. Houshan area",2006-07-02,4,2006,20,16,Unknown,5.7,Torrential Rain,1.0,138195,83.7675,43.3175,Medium
Liaoning Province - Huludao City,2006-06-30,2,2006,8,0,Unknown,1.8,Torrential Rain,1.0,32,120.959,40.7049,Low
"Anhui Province - Sixian, Xiaoxian and Fengyang counties. Chuzhou, Suzhou, Bengbu, Huaibei, Bozhou and FuyangHenan Province - Yuzhou CityJiangsu Province - ",2006-06-28,9,2006,30,44400,2500000,5.6,Torrential Rain,1.0,43706,117.034,34.0401,Medium
"Yunnan province - Zhenxiong county, ZhaotongSichuan province - Gulin County, Luzhou CityGuizhou province - Jiebi prefecture and Zunyi county",2006-06-28,11,2006,50,10000,10400000,6.1,Torrential Rain,1.0,109599,105.73,28.4708,Medium
"Guizhou province - counties: Sandu, Rongjiang",2006-06-25,2,2006,4,5000,6500000,4.4,Torrential Rain,1.0,11362,108.449,26.0133,Medium
"Hunan province - Longhui county - cities: Shaoyang, Huaihua, Loudi, Zhangjiajie, Xiangxi and Qingshan'ao Village",2006-06-25,2,2006,25,123000,Unknown,4.8,Torrential Rain,1.0,34991,111.06,27.0606,Medium
Fujian Province - Yongding county,2006-06-17,3,2006,2,5000,Unknown,4.4,Torrential Rain,1.0,7858,116.866,24.7288,Medium
"Hunan province - Chenzhou, Zhuzhou and Loudi cities",2006-06-13,4,2006,2,50000,Unknown,5.4,Torrential Rain,1.0,58065,112.754,26.1963,Medium
"Guizhou province - counties: Wangmo, Luodian. Qianxi'nan Bouyei, Miao. Wangmo town.",2006-06-12,5,2006,52,5900,130000000,4.8,Torrential Rain,1.0,11678,106.512,25.506,Medium
"Guangxi - Wuzhou, Baise",2006-06-08,8,2006,21,195500,2625000,4.5,Torrential Rain,1.0,4210,111.38,23.4205,Medium
"Southeastern ChinaFujian Province - central and northern areas - Changting county. Nanping.Guangdong province - Pearl River Delta,  Taishan cityJiangxi province - ",2006-05-30,11,2006,57,356000,393000000,6.2,Torrential Rain,2.0,76601,118.574,26.7522,Medium
Hubei Province,2006-05-24,8,2006,3,350000,Unknown,5.9,Torrential Rain,1.0,107431,112.9,30.9231,Medium
"Southeastern Provinces - Fujian, Guangdong (Shantou City)",2006-05-18,5,2006,23,1030000,475000000,5.8,Tropical Cyclone,1.0,141404,118.77,25.9707,Medium
Guizhou Province,2006-04-21,25,2006,22,36900,36000000,6.6,Torrential Rain,1.0,175249,106.58,26.9221,High
 Xinjiang Uygur Autonomous Region - Yili Prefecture,2006-02-16,8,2006,0,3000,800000,5.8,Snowmelt,1.0,76506,87.2118,40.658,Medium
Shaanxi Province - 11 counties and districts of Weinan city.,2005-10-03,4,2005,16,359000,60490000,4.7,Torrential Rain,1.0,12375,109.084,34.5073,Medium
Fujian Province - Fuzhou area. ,2005-10-02,5,2005,95,0,148000000,4.8,Tropical Cyclone,1.0,13902,119.21,25.9561,Medium
"Hubei Province - ShiyanShaanxi Province - Xixinag county,  Hanzhong city and 11 surrounding counties",2005-09-29,8,2005,2,24000,Unknown,5.4,Torrential Rain,1.0,29516,109.423,32.8686,Medium
"Southern China -Gunagdong province: Zhanjiang cityHainan Island: Wanning City, HaikouNorthern Vietnam -Yen Bai (Cat Thinh in Van Chan district, Tram Tau, Nghia Lo), Nghe An, Phu Tho, Hoa Binh and Lao Cai. Thanh Hoa, Nam Dinh.Northern Thailand - Lampang (Chae Hom, Muang Pan, Lampang city, Thoen), Chiang Mai (Saraphee, Chiang Dao, Mae Taeng, Fang, Muang), Chiang Rai (Muang, Wiang Pa Pao,  Mae Suay), Phayao, Mae Hong Son and Phrae (Long). Yasothon (Mahachanachai), Ubon Ratchathani",2005-09-26,11,2005,104,470000,1500000000,7.0,Tropical Cyclone,2.0,491950,110.083,19.2402,High
"Zhejiang province - Qinglin near Ningbo. Taizhou, Wehshou.Shanghai areaJiangsu province - Suzhou and Wuxi",2005-09-11,3,2005,16,1350000,849000000,5.4,Tropical Cyclone,1.0,84372,120.242,30.3681,Medium
"Hubei Province - Shiyan, Xiangfan and Suizhou. Danjiangkou.",2005-08-14,23,2005,28,14500,Unknown,6.0,Torrential Rain,1.0,43676,112.263,32.0585,Medium
"Liaoning Province - Tieling, Fushun, Shenyang, Benxi, Jinzhou, Huludao and Chaoyang. Qingyuan countyJilin Province - ",2005-08-13,8,2005,15,206000,913000000,5.8,Torrential Rain,1.0,85856,123.07,41.8583,Medium
"Xinjiang - Taklamakan Desert, Ruoqiang county. Urumqi",2005-08-05,10,2005,7,230000,Unknown,6.9,Torrential Rain,1.0,855819,81.8645,39.8858,High
Yunnan Province - Xiaocaoba township in Yiliang county,2005-07-21,2,2005,16,0,560000,2.9,"Dam/Levy, break or release",1.0,395,104.262,27.7023,Low
Anhui Province -,2005-07-10,9,2005,0,0,48000000,6.0,Torrential Rain,1.0,101854,115.76,32.6055,Medium
"Jilin Province - Jilin city and surrounding villages.Heilongjiang Province - Hegang and Yichun. Daqing area, Qiqihar area, Harbin area.",2005-07-01,43,2005,5,1500,271000000,7.1,Torrential Rain,1.0,275029,125.501,44.5627,High
"Sichuan Province - Dazhou, Bazhong, Guangan, Nanchong, Yibin, Luzhou and Ganzi. Luding county, Chuni village. Meishan, Chengdu, Deyang, Ya'an, Leshan and Yibing. Dazhu.",2005-06-28,22,2005,65,428000,2700000,6.2,Torrential Rain,1.0,69402,103.519,30.6766,Medium
"Guangxi Zhuang Autonomous Region - central and northern areas: Wuzhou, Zhaoping (Beituo, Jiulong, and Fuluo), Yongfu, Yangshuo, Pingle, Changzhou, Wanxiu,  Xincheng, Liuzhou, Hechi, Hezhou. Shaoping county. Jiulong. Xiangzhou county.Guangdong province - Longmen region. Heyuan, Shaoguan, Huizhou and Zhaoqing. Foshan and ShaoqingGuizhou province - counties: Weining, Wuchuan, Songtao",2005-06-19,12,2005,200,1500000,852000000,6.7,Torrential Rain,2.0,226558,111.322,23.5449,High
"Fujian Province - Nanping City,  Dongfeng Town of Jian'ou City. Shunchang county. Sanming, Ningde, Fuzhou and Longyan",2005-06-17,9,2005,19,210000,180700000,6.2,Torrential Rain,2.0,93628,117.773,26.6914,Medium
Heilongjiang province - Shalan Township. Ningan city,2005-06-10,3,2005,117,400,Unknown,4.1,Torrential Rain,2.0,2332,129.266,44.3196,Medium
"Hunan Province - counties: Xinshao, Anhua, Xinhua. Cities: Shaoyang, Loudi, Lianyuan, Yiyang, Chenzhou. Xiangxi Tu and Miao Autonomous Prefecture. Sichuan Province - Qijiang county in southwestern Chongqing municipality.Guizhou Province - ",2005-05-30,12,2005,160,300000,383000000,6.9,Torrential Rain,1.0,679663,108.103,28.7151,High
Gansu Province - Minxian County,2005-05-28,2,2005,8,0,4600000,3.6,Torrential Rain,1.0,2020,104.121,34.4136,Low
"Northwestern China - Xinjiang Uygur Autonomous Region - Ili Kazak Prefectureeastern Kazakhstan - ",2005-03-11,12,2005,1,3000,Unknown,6.4,Torrential Rain,1.0,220943,78.8332,44.8319,High
"Sichuan Province - Dazhou, Yunyang county.  cities: Nanchong, Bazhong, Mianyang, Guangan, Guangyuan, Yaan and LiangshanChongqing Municipality - Kaixian County. Cities: Kaixian, Wanzhou, Yunyang, Wuxi, Chengkou, Bishan, Yubei, Beibei, Hechuang and Qijiang ",2004-09-03,7,2004,196,500000,470000000,6.0,Torrential Rain,2.0,72283,108.196,30.5736,Medium
Zhejiang - Taizhou City. Yueqing  area. Leqing,2004-08-12,4,2004,164,30000,2200000000,4.8,Tropical Cyclone,1.0,16657,120.833,28.418,Medium
"Inner Mongolia region - Bayan Nur city, Delingshan area. Districts: Urad Middle Banner and Urad Front Banner",2004-08-02,2,2004,8,0,Unknown,4.6,Torrential Rain,1.0,19410,107.649,41.176,Medium
"Northeastern China - Liaoning Province - Jianping, Chaoyang, JianchangJilin Provinces and Inner Mongolia Autonomous Region Province",2004-07-12,19,2004,11,0,Unknown,6.3,Torrential Rain,1.0,106552,123.994,42.9703,Medium
"Hunan Province - Chenxi County. prefectures: Huaihua, Xiangxi, Changde, Yiyang, Zhangjiajie and Yueyang.  Huaihua city. ",2004-07-17,14,2004,2,135000,51200000,6.4,Torrential Rain,2.0,86023,110.829,27.8758,High
"Henan Province - counties: Wuyang. Luohe, Nanyang and PingdingshanAnhui Province - Dangshan county.",2004-07-16,15,2004,0,150000,Unknown,5.9,Torrential Rain,1.0,52796,114.77,33.4219,Medium
"Southern ChinaGuangxi Province - Binyang County. Wuzhou, Nanning area.Guangdong Province - Shantou , Puning , Leizhou and Shunde. Maoming",2004-07-14,14,2004,24,82000,Unknown,6.3,Torrential Rain,1.0,156995,110.433,24.0014,Medium
"Southwestern China - Yunnan ProvinceCounties: Yingjiang, Longchuan, Lushui, Huize, Zhina. Dehong Prefecture. Tenchong.Lisu Autonomous Prefecture of Nujiang. Pianma Town. Baoshan City",2004-07-04,20,2004,35,26000,Unknown,6.0,Torrential Rain,1.0,44796,98.8899,26.1245,Medium
"Sichuan Province - Xingwen County, Yibin city",2004-06-28,3,2004,15,0,Unknown,4.7,Torrential Rain,1.0,14994,104.834,28.8637,Medium
"Hunan Province - Huaihua, Yiyang,  Xiangxi, Changsha , Loudi, Hengyang , Yueyang areas.",2004-06-20,6,2004,27,168000,360000000,5.7,Torrential Rain,1.0,92247,111.683,28.0894,Medium
"Guizhou Province - counties: Shuicheng, Fenggang. Liupanshui City",2004-06-14,3,2004,2,0,Unknown,5.2,Torrential Rain,1.0,47477,106.151,27.1983,Medium
"Guizhou Province - Miao-Dong Autonomous Prefecture of Qiandongnan, Luodian and Guiding counties",2004-06-05,2,2004,3,0,Unknown,4.3,Torrential Rain,1.0,9845,106.888,25.9751,Medium
Xinjiang Uygur Autonomous Region - Habahe County,2004-05-31,2,2004,4,0,Unknown,3.7,Torrential Rain,1.0,2442,86.2589,47.8637,Low
Hubei Province - Enshi City area,2004-05-27,2,2004,18,0,Unknown,2.4,"Dam/Levy, break or release",1.0,114,109.474,30.2851,Low
Jiangxi Province - 51 counties in the north of the province. Le'an River Valley.,2004-05-13,5,2004,7,0,53500000,4.7,Torrential Rain,1.0,10939,117.428,29.1622,Medium
Southeastern China - Fujian Province - Yongtai County - towns of Songkou and Changqing,2003-09-20,3,2003,13,8000,9640000,3.8,Torrential Rain,1.0,2292,118.581,25.7276,Low
"Sichuan Province - Shimian County, Xieluo Township. Cities: Ya'an, Ziyang. Danba county",2003-08-26,5,2003,17,0,Unknown,4.5,Torrential Rain,1.0,6155,103.018,30.0316,Medium
"Northwest China: Shaanxi Province - Counties: Huaxian, Ningshan, Xunyang, Luonan. Towns: Weinan and surroundings, Yongquan, Shangluo, Baoji, Tongchuan, Ankang, Huayin. Baoji,  Xianyang, Chengcheng.Gansu Province - Qingyang, Pingliang, Wuwei, Tianshui, Dingxi and Longnan.  Qingyang CityHenan Province - dike breach in Lankao County.Hubei Province - Yunxi CountyInner Mongolia - Urad Qianqi regionShandong Province - Dongming County",2003-08-24,81,2003,123,670000,240000000,7.9,Torrential Rain,2.0,471060,107.985,35.6812,High
"Southern China - Hainan - Haikou cityGuangxi - Beihai cityGuangdong - Northern Vietnam - Quang Ninh province",2003-08-25,2,2003,3,0,Unknown,4.7,Tropical Cyclone,1.0,27219,110.266,21.1505,Medium
"Tibet and surrounding areas.Qinghai province - Nangchen county, Kyegudo town in Yushu Prefecture.",2003-08-01,25,2003,1,600,Unknown,6.9,Torrential Rain,1.0,323815,94.3294,32.3393,High
Shanxi and Shaanxi provinces - Fugu area.,2003-07-30,3,2003,2,0,Unknown,4.5,Torrential Rain,1.0,9891,111.067,39.043,Medium
"Northeast China - Western Heilongjiang Province. Counties: Gannan, Yi'an and four others",2003-07-27,76,2003,0,1000,6890000,7.2,Torrential Rain,1.0,215590,124.702,47.944,High
"South China - Guangdong Province - cities: Yangjiang, Luoding, Zhanjiang, MaomingGuangxi Province - Northern Hainan Island - Haikou, Wenshan.",2003-07-23,3,2003,14,30000,Unknown,5.2,Tropical Cyclone,1.0,50628,110.141,21.2109,Medium
"Northwest China - Xinjiang Uygur Autonomous Region - Tianshan Mountain area, Kazak Autonomous County Barkol.",2003-07-12,4,2003,1,0,Unknown,5.6,Torrential Rain,1.0,103777,92.8839,43.1637,Medium
"Eastern ChinaAnhui Province - counties: Funan, Huoqiu, Yingshang, Chuxian.  - Wangjiaba, Mengwa, Bengbu.Henan Province - counties: Xixian, Xuyi. Jiangsu Province - Huaiyuan City. Hongze Lake area.",2003-07-01,38,2003,18,1600000,400000000,7.0,Torrential Rain,2.0,126534,115.718,32.5166,High
"Eastern, central and southern China - Yangtze basinZhejiang Province - Jinyun County - Lishui city. Jiangxi  Province - Xinjian county. Nanchang. Northern areas.Sichuan Province - Chongqing, Ganzi, Aba, Guangyuan, Bazhong, Danba.Jiangsu Province - Nanjing areaHunan Province - Huaihua, ZhangjiajieHubei Province - Zigui, Wuhan area.Shaanxi Province - Ningqiang County, Shaanxi Guangxi Province - Guizhou Province - Xishui districtGansu Province - Zhang County",2003-06-23,36,2003,430,1500000,725000000,7.7,Torrential Rain,1.0,1540349,118.401,28.831,High
"Central China - Hubei and Sichuan ProvincesYichang, Sandouping - Three Gorges Dam filling reservoir from Yichang to Fengdu in Chongqing Municipality",2003-06-01,14,2003,0,0,Unknown,5.1,"Dam/Levy, break or release",1.0,9132,110.741,30.9182,Medium
"Northwest China - Xinjiang Uighur Autonomous Region - Ili River valley. Counties:  Nilka, Gongliu, Tekes.",2003-06-05,3,2003,28,0,Unknown,5.1,Torrential Rain,1.0,44616,82.5109,43.7754,Medium
